longitude,latitude,temperature
119.91,34.71,
120.01,34.71,
120.11,34.71,
120.21,34.71,
120.31,34.71,
120.41,34.71,
120.51,34.71,
120.61,34.71,
120.71,34.71,
120.81,34.71,
120.91,34.71,
121.01,34.71,
121.11,34.71,
121.21,34.71,
121.31,34.71,
121.41,34.71,
121.52,34.71,
121.62,34.71,
121.72,34.71,
121.82,34.71,
121.92,34.71,
122.02,34.71,
122.12,34.71,
122.22,34.71,
122.32,34.71,
122.42,34.71,
114.48,34.79,
114.58,34.79,
114.68,34.79,
114.78,34.79,
114.88,34.79,
114.98,34.79,
115.08,34.79,
115.18,34.79,
115.28,34.79,
115.38,34.79,
115.49,34.79,4.7
115.59,34.79,4.66
115.69,34.79,4.61
115.79,34.79,4.54
115.89,34.79,4.46
115.99,34.79,4.36
116.09,34.79,4.27
116.19,34.79,4.18
116.29,34.79,4.1
116.39,34.79,4.04
116.49,34.79,
116.59,34.79,
116.69,34.79,
116.79,34.79,
116.89,34.79,
116.99,34.79,4.3
117.09,34.79,4.46
117.19,34.79,4.64
117.29,34.79,4.85
117.39,34.79,5.06
117.5,34.79,5.28
117.6,34.79,5.49
117.7,34.79,5.69
117.8,34.79,5.87
117.9,34.79,6.02
118.0,34.79,6.15
118.1,34.79,6.24
118.2,34.79,6.31
118.3,34.79,6.34
118.4,34.79,6.35
118.5,34.79,6.35
118.6,34.79,6.32
118.7,34.79,6.29
118.8,34.79,
118.9,34.79,
119.0,34.79,
119.1,34.79,
119.2,34.79,
119.3,34.79,
119.4,34.79,
119.51,34.79,
119.61,34.79,
119.71,34.79,
119.81,34.79,
119.91,34.79,
120.01,34.79,
120.11,34.79,
120.21,34.79,
120.31,34.79,
120.41,34.79,
120.51,34.79,
120.61,34.79,
120.71,34.79,
120.81,34.79,
120.91,34.79,
121.01,34.79,
121.11,34.79,
121.21,34.79,
121.31,34.79,
121.41,34.79,
121.52,34.79,
121.62,34.79,
121.72,34.79,
121.82,34.79,
121.92,34.79,
122.02,34.79,
122.12,34.79,
122.22,34.79,
122.32,34.79,
122.42,34.79,
114.48,34.87,
114.58,34.87,
114.68,34.87,
114.78,34.87,
114.88,34.87,
114.98,34.87,
115.08,34.87,
115.18,34.87,
115.28,34.87,4.76
115.38,34.87,4.77
115.49,34.87,4.75
115.59,34.87,4.71
115.69,34.87,4.65
115.79,34.87,4.57
115.89,34.87,4.46
115.99,34.87,4.35
116.09,34.87,4.24
116.19,34.87,4.12
116.29,34.87,4.02
116.39,34.87,3.94
116.49,34.87,
116.59,34.87,
116.69,34.87,
116.79,34.87,
116.89,34.87,
116.99,34.87,4.13
117.09,34.87,4.29
117.19,34.87,4.48
117.29,34.87,4.7
117.39,34.87,4.93
117.5,34.87,5.17
117.6,34.87,5.4
117.7,34.87,5.62
117.8,34.87,5.83
117.9,34.87,6.01
118.0,34.87,6.15
118.1,34.87,6.27
118.2,34.87,6.36
118.3,34.87,6.41
118.4,34.87,6.44
118.5,34.87,6.45
118.6,34.87,6.44
118.7,34.87,6.42
118.8,34.87,6.4
118.9,34.87,
119.0,34.87,
119.1,34.87,
119.2,34.87,
119.3,34.87,
119.4,34.87,
119.51,34.87,
119.61,34.87,
119.71,34.87,
119.81,34.87,
119.91,34.87,
120.01,34.87,
120.11,34.87,
120.21,34.87,
120.31,34.87,
120.41,34.87,
120.51,34.87,
120.61,34.87,
120.71,34.87,
120.81,34.87,
120.91,34.87,
121.01,34.87,
121.11,34.87,
121.21,34.87,
121.31,34.87,
121.41,34.87,
121.52,34.87,
121.62,34.87,
121.72,34.87,
121.82,34.87,
121.92,34.87,
122.02,34.87,
122.12,34.87,
122.22,34.87,
122.32,34.87,
122.42,34.87,
114.48,34.95,
114.58,34.95,
114.68,34.95,
114.78,34.95,
114.88,34.95,
114.98,34.95,
115.08,34.95,
115.18,34.95,
115.28,34.95,4.81
115.38,34.95,4.82
115.49,34.95,4.8
115.59,34.95,4.75
115.69,34.95,4.68
115.79,34.95,4.58
115.89,34.95,4.46
115.99,34.95,4.32
116.09,34.95,4.18
116.19,34.95,4.05
116.29,34.95,3.92
116.39,34.95,3.81
116.49,34.95,3.73
116.59,34.95,3.68
116.69,34.95,3.67
116.79,34.95,
116.89,34.95,3.78
116.99,34.95,3.9
117.09,34.95,4.07
117.19,34.95,4.26
117.29,34.95,4.49
117.39,34.95,4.74
117.5,34.95,5.0
117.6,34.95,5.25
117.7,34.95,5.5
117.8,34.95,5.73
117.9,34.95,5.93
118.0,34.95,6.11
118.1,34.95,6.25
118.2,34.95,6.36
118.3,34.95,6.44
118.4,34.95,6.49
118.5,34.95,6.51
118.6,34.95,6.52
118.7,34.95,6.52
118.8,34.95,6.52
118.9,34.95,
119.0,34.95,
119.1,34.95,
119.2,34.95,
119.3,34.95,
119.4,34.95,
119.51,34.95,
119.61,34.95,
119.71,34.95,
119.81,34.95,
119.91,34.95,
120.01,34.95,
120.11,34.95,
120.21,34.95,
120.31,34.95,
120.41,34.95,
120.51,34.95,
120.61,34.95,
120.71,34.95,
120.81,34.95,
120.91,34.95,
121.01,34.95,
121.11,34.95,
121.21,34.95,
121.31,34.95,
121.41,34.95,
121.52,34.95,
121.62,34.95,
121.72,34.95,
121.82,34.95,
121.92,34.95,
122.02,34.95,
122.12,34.95,
122.22,34.95,
122.32,34.95,
122.42,34.95,
114.48,35.03,
114.58,35.03,
114.68,35.03,
114.78,35.03,
114.88,35.03,4.61
114.98,35.03,4.7
115.08,35.03,4.77
115.18,35.03,4.82
115.28,35.03,4.86
115.38,35.03,4.86
115.49,35.03,4.84
115.59,35.03,4.78
115.69,35.03,4.69
115.79,35.03,4.58
115.89,35.03,4.44
115.99,35.03,4.28
116.09,35.03,4.11
116.19,35.03,3.94
116.29,35.03,3.78
116.39,35.03,3.64
116.49,35.03,3.53
116.59,35.03,3.46
116.69,35.03,3.43
116.79,35.03,3.44
116.89,35.03,3.51
116.99,35.03,3.62
117.09,35.03,3.79
117.19,35.03,3.99
117.29,35.03,4.23
117.39,35.03,4.49
117.5,35.03,4.77
117.6,35.03,5.05
117.7,35.03,5.32
117.8,35.03,5.58
117.9,35.03,5.81
118.0,35.03,6.01
118.1,35.03,6.18
118.2,35.03,6.31
118.3,35.03,6.41
118.4,35.03,6.48
118.5,35.03,6.53
118.6,35.03,6.56
118.7,35.03,6.58
118.8,35.03,6.6
118.9,35.03,
119.0,35.03,
119.1,35.03,
